pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.44	1501	1664717	1109.07
9.60	6.14	1501	1664717	1109.07
9.30	5.84	1501	1664717	1109.07
9.00	5.75	2555	2841916	1112.30
8.70	5.45	2555	2841916	1112.30
8.40	5.15	2555	2841916	1112.30
8.10	4.93	4430	5082761	1147.35
7.80	4.77	4430	5082761	1147.35
7.50	4.47	4430	5082761	1147.35
7.20	4.17	4430	5082761	1147.35
6.90	4.09	7757	9553746	1231.63
6.60	3.82	7757	9553746	1231.63
6.30	3.52	7757	9553746	1231.63
6.00	3.31	13455	18127219	1347.25
5.70	3.17	13455	18127219	1347.25
5.40	2.87	13455	18127219	1347.25
5.10	2.58	22020	33828283	1536.25
4.80	2.52	22020	33828283	1536.25
4.50	2.22	22020	33828283	1536.25
4.20	1.92	22020	33828283	1536.25
3.90	1.89	34391	61445680	1786.68
3.60	1.59	34391	61445680	1786.68
3.30	1.30	52494	108588372	2068.59
3.00	1.25	52494	108588372	2068.59
2.70	0.95	52494	108588372	2068.59
2.40	0.77	81877	190011749	2320.70
2.10	0.63	81877	190011749	2320.70
1.80	0.33	81877	190011749	2320.70
1.50	0.31	140760	345394000	2453.78
1.20	0.03	140760	345394000	2453.78
0.90	0.00	274536	707140653	2575.77
0.60	0.00	354550	1595828985	4501.00
0.30	0.00	354550	1595828985	4501.00
