## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Output/BAM/SRR2147247.filtered.bam --OUTPUT Output/BAM/SRR2147247.removeddup.bam --METRICS_FILE logs/SRR2147247_picard.out --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 28 02:07:07 CET 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	15865951	0	0	0	1835759	0	0,115704	63165024

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12482289	12482289
2.0	1,77788	1369824	1369824
3.0	2,382978	148390	148390
4.0	2,853672	17852	17852
5.0	3,219815	3862	3862
6.0	3,504631	1784	1784
7.0	3,726184	1256	1256
8.0	3,898525	847	847
9.0	4,032586	657	657
10.0	4,13687	450	450
11.0	4,21799	398	398
12.0	4,281091	298	298
13.0	4,330177	260	260
14.0	4,36836	239	239
15.0	4,398061	161	161
16.0	4,421165	163	163
17.0	4,439138	126	126
18.0	4,453118	113	113
19.0	4,463993	99	99
20.0	4,472453	92	92
21.0	4,479033	84	84
22.0	4,484152	60	60
23.0	4,488134	68	68
24.0	4,491231	70	70
25.0	4,49364	64	64
26.0	4,495515	43	43
27.0	4,496973	38	38
28.0	4,498107	35	35
29.0	4,498989	42	42
30.0	4,499675	27	27
31.0	4,500209	24	24
32.0	4,500624	22	22
33.0	4,500947	34	34
34.0	4,501198	24	24
35.0	4,501394	13	13
36.0	4,501546	19	19
37.0	4,501664	14	14
38.0	4,501756	22	22
39.0	4,501828	17	17
40.0	4,501883	17	17
41.0	4,501927	17	17
42.0	4,50196	10	10
43.0	4,501987	13	13
44.0	4,502007	14	14
45.0	4,502023	17	17
46.0	4,502035	13	13
47.0	4,502045	11	11
48.0	4,502052	4	4
49.0	4,502058	10	10
50.0	4,502063	9	9
51.0	4,502066	10	10
52.0	4,502069	8	8
53.0	4,502071	5	5
54.0	4,502073	7	7
55.0	4,502074	5	5
56.0	4,502075	6	6
57.0	4,502076	4	4
58.0	4,502076	4	4
59.0	4,502077	5	5
60.0	4,502077	1	1
61.0	4,502077	4	4
62.0	4,502078	6	6
63.0	4,502078	2	2
64.0	4,502078	2	2
65.0	4,502078	3	3
66.0	4,502078	1	1
67.0	4,502078	3	3
68.0	4,502078	1	1
69.0	4,502078	0	0
70.0	4,502078	2	2
71.0	4,502078	2	2
72.0	4,502078	1	1
73.0	4,502078	3	3
74.0	4,502078	2	2
75.0	4,502078	3	3
76.0	4,502078	1	1
77.0	4,502078	1	1
78.0	4,502078	0	0
79.0	4,502078	4	4
80.0	4,502078	0	0
81.0	4,502078	2	2
82.0	4,502078	1	1
83.0	4,502078	5	5
84.0	4,502078	1	1
85.0	4,502078	0	0
86.0	4,502078	1	1
87.0	4,502078	2	2
88.0	4,502078	1	1
