## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Output/BAM/SRR5479624.filtered.bam --OUTPUT Output/BAM/SRR5479624.removeddup.bam --METRICS_FILE logs/SRR5479624_picard.out --REMOVE_DUPLICATES true --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 27 22:47:36 CET 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	27495138	0	0	0	7136306	0	0,259548	43339192

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	15126497	15126497
2.0	1,530244	3930761	3930761
3.0	1,811403	983393	983393
4.0	1,960486	236766	236766
5.0	2,039537	56482	56482
6.0	2,081453	13852	13852
7.0	2,103678	3684	3684
8.0	2,115464	1397	1397
9.0	2,121713	757	757
10.0	2,125026	510	510
11.0	2,126783	437	437
12.0	2,127715	353	353
13.0	2,128209	258	258
14.0	2,12847	270	270
15.0	2,128609	205	205
16.0	2,128683	197	197
17.0	2,128722	174	174
18.0	2,128743	141	141
19.0	2,128754	133	133
20.0	2,12876	125	125
21.0	2,128763	136	136
22.0	2,128764	114	114
23.0	2,128765	109	109
24.0	2,128766	93	93
25.0	2,128766	74	74
26.0	2,128766	71	71
27.0	2,128766	74	74
28.0	2,128766	42	42
29.0	2,128766	61	61
30.0	2,128766	49	49
31.0	2,128766	60	60
32.0	2,128766	57	57
33.0	2,128766	57	57
34.0	2,128766	48	48
35.0	2,128766	36	36
36.0	2,128766	48	48
37.0	2,128766	42	42
38.0	2,128766	44	44
39.0	2,128766	25	25
40.0	2,128766	27	27
41.0	2,128766	27	27
42.0	2,128766	24	24
43.0	2,128766	22	22
44.0	2,128766	32	32
45.0	2,128766	30	30
46.0	2,128766	33	33
47.0	2,128766	19	19
48.0	2,128766	21	21
49.0	2,128766	19	19
50.0	2,128766	22	22
51.0	2,128766	21	21
52.0	2,128766	17	17
53.0	2,128766	22	22
54.0	2,128766	13	13
55.0	2,128766	33	33
56.0	2,128766	23	23
57.0	2,128766	7	7
58.0	2,128766	17	17
59.0	2,128766	20	20
60.0	2,128766	14	14
61.0	2,128766	17	17
62.0	2,128766	16	16
63.0	2,128766	6	6
64.0	2,128766	22	22
65.0	2,128766	5	5
66.0	2,128766	8	8
67.0	2,128766	11	11
68.0	2,128766	12	12
69.0	2,128766	19	19
70.0	2,128766	9	9
71.0	2,128766	11	11
72.0	2,128766	16	16
73.0	2,128766	6	6
74.0	2,128766	18	18
75.0	2,128766	8	8
76.0	2,128766	10	10
77.0	2,128766	14	14
78.0	2,128766	13	13
79.0	2,128766	10	10
80.0	2,128766	11	11
81.0	2,128766	9	9
82.0	2,128766	11	11
83.0	2,128766	10	10
84.0	2,128766	10	10
85.0	2,128766	10	10
86.0	2,128766	5	5
87.0	2,128766	2	2
88.0	2,128766	8	8
89.0	2,128766	9	9
90.0	2,128766	6	6
91.0	2,128766	8	8
92.0	2,128766	4	4
93.0	2,128766	8	8
94.0	2,128766	4	4
95.0	2,128766	5	5
96.0	2,128766	7	7
97.0	2,128766	5	5
98.0	2,128766	4	4
99.0	2,128766	3	3
100.0	2,128766	3	3
101.0	0	11	11
102.0	0	8	8
103.0	0	4	4
104.0	0	11	11
105.0	0	6	6
106.0	0	1	1
107.0	0	2	2
108.0	0	4	4
109.0	0	5	5
110.0	0	5	5
111.0	0	3	3
112.0	0	6	6
113.0	0	3	3
114.0	0	4	4
115.0	0	2	2
117.0	0	4	4
118.0	0	4	4
119.0	0	2	2
120.0	0	2	2
121.0	0	4	4
122.0	0	2	2
123.0	0	1	1
124.0	0	7	7
125.0	0	5	5
126.0	0	2	2
127.0	0	4	4
128.0	0	4	4
129.0	0	1	1
130.0	0	4	4
131.0	0	3	3
132.0	0	2	2
133.0	0	1	1
134.0	0	3	3
135.0	0	2	2
136.0	0	5	5
138.0	0	6	6
140.0	0	3	3
141.0	0	2	2
142.0	0	3	3
143.0	0	1	1
144.0	0	2	2
145.0	0	2	2
146.0	0	1	1
147.0	0	1	1
148.0	0	1	1
149.0	0	1	1
150.0	0	2	2
151.0	0	4	4
152.0	0	2	2
153.0	0	1	1
154.0	0	2	2
155.0	0	3	3
156.0	0	4	4
157.0	0	3	3
158.0	0	2	2
159.0	0	2	2
160.0	0	1	1
162.0	0	2	2
163.0	0	2	2
164.0	0	6	6
165.0	0	3	3
166.0	0	2	2
168.0	0	2	2
170.0	0	1	1
172.0	0	1	1
173.0	0	1	1
175.0	0	5	5
176.0	0	2	2
177.0	0	1	1
178.0	0	4	4
179.0	0	1	1
180.0	0	4	4
181.0	0	1	1
182.0	0	1	1
187.0	0	1	1
188.0	0	1	1
191.0	0	2	2
192.0	0	1	1
194.0	0	2	2
197.0	0	1	1
198.0	0	2	2
199.0	0	1	1
200.0	0	1	1
201.0	0	1	1
203.0	0	1	1
204.0	0	4	4
206.0	0	2	2
207.0	0	3	3
209.0	0	1	1
210.0	0	1	1
212.0	0	2	2
217.0	0	2	2
219.0	0	2	2
220.0	0	1	1
221.0	0	1	1
222.0	0	2	2
223.0	0	1	1
224.0	0	1	1
225.0	0	2	2
227.0	0	1	1
228.0	0	3	3
231.0	0	2	2
232.0	0	1	1
233.0	0	1	1
237.0	0	3	3
238.0	0	1	1
239.0	0	3	3
241.0	0	1	1
243.0	0	2	2
245.0	0	1	1
248.0	0	2	2
249.0	0	1	1
253.0	0	1	1
257.0	0	1	1
258.0	0	2	2
268.0	0	1	1
269.0	0	1	1
271.0	0	1	1
273.0	0	1	1
277.0	0	2	2
280.0	0	1	1
283.0	0	1	1
284.0	0	1	1
285.0	0	2	2
287.0	0	2	2
288.0	0	1	1
293.0	0	1	1
294.0	0	1	1
298.0	0	2	2
300.0	0	2	2
306.0	0	1	1
311.0	0	1	1
315.0	0	1	1
319.0	0	1	1
320.0	0	2	2
323.0	0	1	1
324.0	0	1	1
330.0	0	2	2
332.0	0	1	1
339.0	0	1	1
354.0	0	1	1
356.0	0	1	1
358.0	0	2	2
370.0	0	2	2
372.0	0	1	1
373.0	0	1	1
381.0	0	1	1
386.0	0	1	1
396.0	0	1	1
407.0	0	1	1
413.0	0	1	1
421.0	0	1	1
426.0	0	1	1
433.0	0	1	1
436.0	0	1	1
446.0	0	1	1
447.0	0	1	1
449.0	0	1	1
467.0	0	1	1
492.0	0	1	1
502.0	0	1	1
518.0	0	1	1
522.0	0	1	1
539.0	0	1	1
543.0	0	1	1
583.0	0	1	1
611.0	0	1	1
629.0	0	1	1
637.0	0	1	1
686.0	0	1	1
689.0	0	1	1
696.0	0	1	1
707.0	0	1	1
718.0	0	1	1
725.0	0	2	2
750.0	0	1	1
814.0	0	1	1
835.0	0	1	1
1621.0	0	1	1

