Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR2147247_1	4.2	41990725	19817918	41990725	4241063225	341766144	3480276378	17.938587722893473
SRR2147247_2	4.2	41990725	17261964	41990725	4241063225	1393693882	2448425694	42.26858775490195
SRR5479623_1	4.2	40035927	25467765	40035927	6005389050	64477216	5564384531	7.343479586888712
SRR5479623_2	4.2	40035927	25385238	40035927	6005389050	254550481	5383088507	10.362368496342464
SRR5479624_1	4.2	44272154	28145474	44272154	6640823100	68087056	6211636161	6.462857578603471
SRR5479624_2	4.2	44272154	28281915	44272154	6640823100	213334629	6067007871	8.640724505972761
SRR6956533_1	4.2	12053030	5487711	12053030	1807954500	109374024	1617450526	10.536989398792945
SRR6956533_2	4.2	12053030	5126790	12053030	1807954500	447896544	1261806686	30.20805081101322
SRR6956534_1	4.2	28214387	18177997	28214387	4232158050	877942063	2658498723	37.18337804043023
SRR6956534_2	4.2	28214387	19679486	28214387	4232158050	1123604990	2263824220	46.508986827654034
